iata,icao,airport
KCJ,AYOQ,Komaio Airport
KDE,AYOW,Koroba Airport
KDP,AYNN,Kandep Airport
KDQ,AYTO,Kamberatoro Airport
KEG,AYLG,Keglsugl Airport
KEX,AYNB,Kanabea Airport
KGB,AYOE,Konge Airport
KGH,AYJO,Yongai Airport
KGM,AYIM,Kungim Airport
KII,AYLI,Kibuli Airport
KIQ,AYRA,Kira Airport
KMB,AYON,Koinambe Airport
KMF,AYKD,Kamina Airport
KNE,AYKJ,Kanainj Airport
KOM,AYOO,Komo-Manda Airport
KOR,AYRO,Kakoro Airport
KPA,AYKG,Kopiago Airport
KPE,AYYP,Yapsiei Airport
KPF,AYDL,Kondubol Airport
KPM,AYAQ,Kompiam Airport
KQL,AYOL,Kol Airport
KRU,AYEA,Kerau Airport
KRX,AYKR,Karkar Airport
SWL,RPSV,San Vicente Airport
OZC,RPMO,Labo Airport
SFE,RPUS,San Fernando Airport
CRK,RPLC,Clark International Airport
BSO,RPUO,Basco Airport
RXS,RPVR,Roxas Airport
BSI,RPLE,Balesin Airport
AAV,RPMA,Allah Valley Airport
JOL,RPMJ,Jolo Airport
KLO,RPVK,Kalibo International Airport
ILO,RPVI,Iloilo International Airport
USU,RPVV,Francisco B. Reyes Airport
SGL,RPLS,Danilo Atienza Air Base
CYP,RPVC,Calbayog Airport
EUQ,RPVS,Evelio Javier Airport (Antique Airport)
LBX,RPLU,Lubang Airport
TDG,RPMW,Tandag Airport
TAG,RPVT,Tagbilaran Airport
OMC,RPVO,Ormoc Airport
DTE,RPUD,Bagasbas Airport
PAG,RPMP,Pagadian Airport
LGP,RPLP,Legazpi International Airport
MBO,RPUM,Mamburao Airport
CRM,RPVF,Catarman National Airport
TUG,RPUT,Tuguegarao Airport
MBT,RPVJ,Moises R. Espinosa Airport (Masbate Airport)
LAO,RPLI,Laoag International Airport
BQA,RPUR,Dr. Juan C. Angara Airport
CYU,RPLO,Cuyo Airport
RZP,RPSD,Cesar Lim Rodriguez Airport
XSO,RPNO,Siocon Airport
MPH,RPVE,Godofredo P. Ramos Airport (Caticlan Airport)
DGT,RPVD,Sibulan Airport (Dumaguete Airport)
MXI,RPMQ,Mati Airport (Imelda R. Marcos Airport)
BPH,RPMF,Bislig Airport
CYZ,RPUY,Cauayan Airport
LLC,RPLH,Cagayan North International Airport (Lal-lo Airport)
GES,RPMR,General Santos International Airport (Tambler Airport)
DVO,RPMD,Francisco Bangoy International Airport
ICO,RPSG,Sicogon Airport
MLP,RPMM,Malabang Airport
ZAM,RPMZ,Zamboanga International Airport
IAO,RPNS,Sayak Airport (Siargao Airport)
SUG,RPMS,Surigao Airport
IGN,RPMI,Maria Cristina Airport (Iligan Airport)
SJI,RPUH,San Jose Airport
TWT,RPMN,Sanga-Sanga Airport
CGY,RPMY,Laguindingan Airport
CGM,RPMH,Camiguin Airport
CEB,RPVM,Mactan-Cebu International Airport
MNL,RPLL,Ninoy Aquino International Airport / Villamor Air Base
SFS,RPLB,Subic Bay International Airport
CDY,RPMU,Cagayan de Sulu Airport
CBO,RPMC,Awang Airport
DPL,RPMG,Dipolog Airport
TAC,RPVA,Daniel Z. Romualdez Airport
BXU,RPME,Bancasi Airport
VRC,RPUV,Virac Airport
MRQ,RPUW,Marinduque Airport
TBH,RPVU,Tugdan Airport
ENI,RPEN,El Nido Airport
BAG,RPUB,Loakan Airport
BCD,RPVB,Bacolod-Silay International Airport
WNP,RPUN,Naga Airport
PPS,RPVP,Puerto Princesa International Airport
IPE,RPMV,Ipil Airport
LYP,OPFA,Faisalabad International Airport
XJM,OPMA,Mangla Airport
PJG,OPPG,Panjgur Airport
KDU,OPSD,Skardu Airport
CJL,OPCH,Chitral Airport
HDD,OPKD,Hyderabad Airport
SKT,OPST,Sialkot International Airport
SKZ,OPSK,Sukkur Airport
DEA,OPDG,Dera Ghazi Khan International Airport
DDU,OPDD,Dadu Airport
MPD,OPMP,Sindhri Airport
PAJ,OPPC,Parachinar Airport
TUK,OPTU,Turbat International Airport
GIL,OPGT,Gilgit Airport
KDD,OPKH,Khuzdar Airport
GWD,OPGD,Gwadar International Airport
TLB,OPTA,Tarbela Dam Airport
LHE,OPLA,Allama Iqbal International Airport
RYK,OPRK,Shaikh Zayed International Airport
RZS,OPSW,Sawan Airport
PSI,OPPI,Pasni Airport
SUL,OPSU,Sui Airport
ORW,OPOR,Ormara Airport
PZH,OPZB,Zhob Airport
SDT,OPSS,Saidu Sharif Airport
SWN,OPSW,Sahiwal Airport
OHT,OPKT,PAF Base Kohat
JAG,OPJA,PAF Base Shahbaz
SGI,OPSR,PAF Base Mushaf
JIW,OPJI,Jiwani Airport
ISB,OPRN,Islamabad International Airport
UET,OPQT,Quetta International Airport
BDN,OPTH,Talhar Airport
RAZ,OPRT,Rawalakot Airport
BHV,OPBW,Bahawalpur Airport
LRG,OPLL,Loralai Airport
KHI,OPKC,Jinnah International Airport
MWD,OPMI,PAF Base M.M. Alam
WAF,OPWN,Wana Airport
PEW,OPPS,Bacha Khan International Airport
MFG,OPMF,Muzaffarabad Airport
MUX,OPMT,Multan International Airport
BNP,OPBN,Bannu Airport
SYW,OPSN,Sehwan Sharif Airport
WNS,OPNH,Nawabshah Airport
DSK,OPDI,Dera Ismail Khan Airport
MJD,OPMJ,Moenjodaro Airport
SBQ,OPSB,Sibi Airport
CHB,OPCL,Chilas Airport
DBA,OPDB,Dalbandin Airport
BZG,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport
KRK,EPKK,John Paul II International Airport Krakow-Balice
SZY,EPSY,Olsztyn-Mazury Regional Airport
GDN,EPGD,Gdansk Lech Walesa Airport
RZE,EPRZ,Rzeszow-Jasionka Airport
OSZ,EPKZ,Koszalin-Zegrze Pomorskie Airport
BXP,EPBP,Biala Podlaska Airport
WRO,EPWR,Copernicus Airport Wroclaw
IEG,EPZG,Zielona Gora Airport
LUZ,EPLB,Lublin Airport
CZW,EPCH,Czestochowa-Rudniki Airport
KTW,EPKT,Katowice International Airport
WMI,EPMO,Warsaw Modlin Airport
SZZ,EPSC,Solidarity Szczecin-Goleniow Airport
POZ,EPPO,Poznan???Lawica Airport
LCJ,EPLL,Lodz Wladyslaw Reymont Airport
WAW,EPWA,Warsaw Chopin Airport
RDO,EPRA,Radom Airport
FSP,LFVP,Saint-Pierre Airport
MQC,LFVM,Miquelon Airport
SJU,TJSJ,Luis Munoz Marin International Airport
PSE,TJPS,Mercedita Airport
SIG,TJIG,Fernando Luis Ribas Dominicci Airport
PXO,LPPS,Porto Santo Airport
FAO,LPFR,Faro Airport
HOR,LPHR,Horta Airport
PIX,LPPI,Pico Airport
FLW,LPFL,Flores Airport
VRL,LPVR,Vila Real Airport
BGC,LPBG,Braganca Airport
SJZ,LPSJ,Sao Jorge Airport
CAT,LPCS,Cascais Municipal Aerodrome
BYJ,LPBJ,Beja Airport
VSE,LPVZ,Viseu Airport
PDL,LPPD,Joao Paulo II Airport
OPO,LPPR,Francisco de Sa Carneiro Airport
SMA,LPAZ,Santa Maria Airport
SIE,LPSI,Sines Airport
BGZ,LPBR,Braga Airport
TER,LPLA,Lajes Field
CVU,LPCR,Corvo Airport
CBP,LPCO,Coimbra Airport
FNC,LPMA,Madeira Airport
GRW,LPGR,Graciosa Airport
LIS,LPPT,Lisbon Portela Airport
PRM,LPPM,Portimao Airport
CHV,LPCH,Chaves Airport
ROR,PTRO,Roman Tmetuchl International Airport
AGT,SGES,Guarani  International Airport
CIO,SGCO,Teniente Coronel Carmelo Peralta Airport
AYO,SGAY,Juan de Ayolas Airport
ENO,SGEN,Teniente Amin Ayub Gonzalez Airport
FLM,SGFI,Filadelfia Airport
OLK,SGOL,Fuerte Olimpo Airport
PIL,SGPI,Carlos Miguel Jimenez Airport
ASU,SGAS,Silvio Pettirossi International Airport
BFA,SGBN,Bahia Negra Airport
PJC,SGPJ,Dr. Augusto Roberto Fuster International Airport
ESG,SGME,Dr. Luis Maria Argana International Airport
XJD,OTBH,Al Udeid Air Base
DOH,OTHH,Hamad International Airport
DIA,OTBD,Doha International Airport
ZSE,FMEP,Pierrefonds Airport
RUN,FMEE,Roland Garros Airport
CRA,LRCV,Craiova International Airport
BBU,LRBS,Aurel Vlaicu International Airport (Baneasa Airport)
OTP,LROP,Henri Coanda International Airport
OMR,LROD,Oradea International Airport
BCM,LRBC,Bacau International Airport
CSB,LRCS,Caransebes Airport
CND,LRCK,Mihail Kogalniceanu International Airport
SUJ,LRSM,Satu Mare International Airport
IAS,LRIA,Iasi International Airport
TGM,LRTM,Targu Mures International Airport
SBZ,LRSB,Sibiu International Airport
BAY,LRBM,Baia Mare Airport
SCV,LRSV,Suceava International Airport (Stefan cel Mare Int'l)
ARW,LRAR,Arad International Airport
CLJ,LRCL,Cluj-Napoca International Airport
TSR,LRTR,Timisoara Traian Vuia International Airport
TCE,LRTC,Tulcea Danube Delta Airport
BEG,LYBE,Belgrade Nikola Tesla Airport
INI,LYNI,Nis Constantine the Great Airport
UZC,LYUZ,Uzice-Ponikve Airport
BJY,LYBT,Batajnica Air Base
URJ,USHU,Uray Airport
SWV,UHMW,Severo-Evensk Airport
URS,UUOK,Kursk Vostochny Airport
USK,UUYS,Usinsk Airport
OKT,UWUK,Oktyabrsky Airport
IAA,UOII,Igarka Airport
OSW,UWOR,Orsk Airport
USR,UEMT,Ust-Nera Airport
NAL,URMN,Nalchik Airport
HTG,UOHH,Khatanga Airport
CYX,UESS,Chersky Airport
IRM,USHI,Igrim Airport
NJC,USNN,Nizhnevartovsk Airport
UUA,UWKB,Bugulma Airport
UUD,UIUU,Baikal International Airport
UUS,UHSS,Yuzhno-Sakhalinsk Airport (Khomutovo Airport)
GYG,UEMM,Magan Airport
LNX,UUBS,Smolensk South Airport
IJK,USII,Izhevsk Airport
SGC,USRR,Surgut International Airport
KRR,URKK,Krasnodar International Airport (Pashkovsky Airport)
INA,UUYI,Inta Airport
KRO,USUU,Kurgan Airport
RAT,USNR,Raduzhny Airport
ARH,ULAA,Talagi Airport
OLZ,UEMO,Olyokminsk Airport
STW,URMT,Stavropol Shpakovskoye Airport
EKS,UHSK,Shakhtyorsk Airport
JOK,UWKJ,Yoshkar-Ola Airport
VGD,ULWW,Vologda Airport
KHV,UHHH,Khabarovsk Novy Airport
VHV,UENI,Verkhnevilyuysk Airport
EIE,UNII,Yeniseysk Airport
ZZO,UHSO,Zonalnoye Airport
OMS,UNOO,Omsk Tsentralny Airport
EGO,UUOB,Belgorod International Airport
LPK,UUOL,Lipetsk Airport
SUY,UENS,Suntar Airport
VKO,UUWW,Vnukovo International Airport
VKT,UUYW,Vorkuta Airport
ASF,URWA,Narimanovo Airport
CSH,ULAS,Solovki Airport
VLK,URRY,Volgodonsk Airport
VLU,ULOL,Velikiye Luki Airport
CSY,UWKS,Cheboksary Airport
AAQ,URKA,Anapa Airport
ABA,UNAA,Abakan International Airport
NUX,USMU,Novy Urengoy Airport
REN,UWOO,Orenburg Tsentralny Airport
ACS,UNKS,Achinsk Airport
VOG,URWW,Volgograd International Airport
BGN,UESG,Belaya Gora Airport
VOZ,UUOO,Voronezh International Airport (Chertovitskoye Airport)
KLF,UUBC,Grabtsevo Airport
KLD,UUEM,Migalovo Air Base
VRI,ULDW,Varandey Airport
KYZ,UNKY,Kyzyl Airport
ADH,UEEA,Aldan Airport
SLY,USDD,Salekhard Airport
TJM,USTR,Roshchino International Airport
AEM,UHTG,Amgu Airport
AER,URSS,Sochi International Airport
IWA,UUBI,Ivanovo Yuzhny Airport
KKQ,USDP,Krasnoselkup Airport
PEE,USPP,Perm International Airport (Bolshoye Savino Airport)
ZKP,UESU,Zyryanka Airport
ZIX,UEVV,Zhigansk Airport
IGT,URMS,Magas Airport (Sleptsovskaya Airport)
VUS,ULWU,Veliky Ustyug Airport
ZIA,UUBW,Ramenskoye Airport (Zhukovsky Airport)
PES,ULPB,Petrozavodsk Airport (Besovets Airport)
PYJ,UERP,Polyarny Airport
VVO,UHWW,Vladivostok International Airport
KGP,USRK,Kogalym International Airport
IKT,UIII,International Airport Irkutsk
VYI,UENW,Vilyuysk Airport
KZN,UWKD,Kazan International Airport
TLK,UECT,Talakan Airport
NYA,USHN,Nyagan Airport
PEX,UUYP,Pechora Airport
TLY,UHWP,Plastun Airport
NYM,USMM,Nadym Airport
NYR,UENN,Nyurba Airport
PEZ,UWPP,Penza Airport (Ternovka Airport)
KXK,UHKK,Komsomolsk-on-Amur Airport
THX,UOTT,Turukhansk Airport
KXD,USHK,Kondinskoye Airport
PWE,UHMP,Pevek Airport
ITU,UHSI,Iturup Airport
KVX,USKK,Pobedilovo Airport
SCW,UUYY,Syktyvkar Airport
KGD,UMKK,Khrabrovo Airport
NSK,UOOO,Alykel Airport
DYR,UHMA,Ugolny Airport
SYS,UERS,Saskylakh Airport
RTW,UWSS,Saratov Tsentralny Airport
PVS,UHMD,Provideniya Bay Airport
TGP,UNIP,Podkamennaya Tunguska Airport
TGK,URRT,Taganrog Airport
TOF,UNTT,Bogashevo Airport
KVM,UHMO,Markovo Airport
IAR,UUDL,Tunoshna Airport
BAX,UNBB,Barnaul Airport
TOX,USTO,Tobolsk Airport
KVK,ULMK,Kirovsk-Apatity Airport (Khibiny Airport)
BQG,UHNB,Bogorodskoye Airport
ONK,UERO,Olenyok Airport
BQS,UHBB,Ignatyevo Airport
NOZ,UNWW,Spichenkovo Airport
GVN,UHKM,Sovetskaya Gavan Airport
LDG,ULAL,Leshukonskoye Airport
TQL,USDS,Tarko-Sale Airport
KUF,UWWW,Kurumoch International Airport
NOJ,USRO,Noyabrsk Airport
SVO,UUEE,Sheremetyevo International Airport
BTK,UIBB,Bratsk Airport
RZN,UUWR,Turlatovo Airport
ODO,UIKB,Bodaybo Airport
LED,ULLI,Pulkovo Airport
NNM,ULAM,Naryan-Mar Airport
IKS,UEST,Tiksi Airport
OEL,UUOR,Oryol Yuzhny Airport
SVX,USSS,Koltsovo International Airport
MRV,URMM,Mineralnye Vody Airport
KEJ,UNEE,Kemerovo International Airport
BVV,UHSB,Burevestnik Airport
NLI,UHNN,Nikolayevsk-on-Amur Airport
SKX,UWPS,Saransk Airport
GDG,UHBI,Magdagachi Airport
BWO,UWSB,Balakovo Airport
SEK,UESK,Srednekolymsk Airport
GOJ,UWGG,Nizhny Novgorod International Airport (Strigino Airport)
GDX,UHMM,Sokol Airport
OSF,UUMO,Ostafyevo International Airport
GDZ,URKG,Gelendzhik Airport
MJZ,UERR,Mirny Airport
TBW,UUOT,Tambov Donskoye Airport
MCX,URML,Uytash Airport
SBT,USDA,Sabetta International Airport
BZK,UUBP,Bryansk International Airport
SUK,UEBS,Sakkyryr Airport
EYK,USHQ,Beloyarsk Airport
TYA,UUWV,Klokovo Airport
UTS,UUYX,Ust-Tsilma Airport
TYD,UHBW,Tynda Airport
RYB,UUBK,Staroselye Airport
CEE,ULWC,Cherepovets Airport
KJA,UNKL,Yemelyanovo International Airport
CEK,USCC,Chelyabinsk Airport
NGK,UHSN,Nogliki Airport
MQJ,UEMA,Moma Airport
OVS,USHS,Sovetsky Airport
OGZ,URMO,Beslan Airport
UCT,UUYH,Ukhta Airport
MQF,USCM,Magnitogorsk International Airport
NFG,USRN,Nefteyugansk Airport
DME,UUDD,Domodedovo International Airport
OVB,UNNT,Tolmachevo Airport
KDY,UEMH,Teply Klyuch Airport
ESL,URWI,Elista Airport
NER,UELL,Chulman Neryungri Airport
DKS,UODD,Dikson Airport
UEN,USDU,Urengoy Airport
OHH,UHSH,Okha Airport (Novostroyka Airport)
UFA,UWUU,Ufa International Airport
YMK,USDK,Mys-Kamenny Airport
OHO,UHOO,Okhotsk Airport
NEF,UWUF,Neftekamsk Airport
UIK,UIBS,Ust-Ilimsk Airport
BCX,UWUB,Beloretsk Airport
GRV,URMG,Grozny Airport
KPW,UHMK,Keperveyem Airport
ROV,URRP,Platov International Airport
UKG,UEBT,Ust-Kuyga Airport
UKX,UITT,Ust-Kut Airport
ULK,UERL,Lensk Airport
KCK,UIKK,Kirensk Airport
SWT,UNSS,Strezhevoy Airport
ULV,UWLL,Ulyanovsk Baratayevka Airport
ULY,UWLW,Ulyanovsk Vostochny Airport
KSZ,ULKK,Kotlas Airport
CKH,UESO,Chokurdakh Airport
ERG,UIKE,Erbogachen Airport
CKL,UUMU,Chkalovsky Airport
YKS,UEEE,Yakutsk Airport
UMS,UEMU,Ust-Maya Airport
DEE,UHSM,Yuzhno-Kurilsk Mendeleyevo Airport
AMV,ULDD,Amderma Airport
PKC,UHPP,Petropavlovsk-Kamchatsky Airport (Yelizovo Airport)
HTA,UIAA,Chita International Airport (Kadala Airport)
BVJ,USDB,Bovanenkovo Airport
RGK,UNBG,Gorno-Altaysk Airport
HMA,USHH,Khanty-Mansiysk Airport
PKV,ULOO,Pskov Airport
NBC,UWKE,Begishevo Airport
KMW,UUBA,Kostroma Airport
MMK,ULMM,Murmansk Airport
BTQ,HRYI,Butare Airport
KME,HRZA,Kamembe Airport
GYI,HRYG,Gisenyi Airport
RHG,HRYU,Ruhengeri Airport
KGL,HRYR,Kigali International Airport (Kanombe Airport)
NUM,OENN,Neom Bay Airport
ABT,OEBA,Al-Baha Domestic Airport
AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport
HOF,OEAH,Al-Ahsa International Airport
RAE,OERR,Arar Domestic Airport
URY,OEGT,Gurayat Domestic Airport
ULH,OEAO,Prince Abdul Majeed bin Abdulaziz Domestic Airport
TUU,OETB,Tabuk Regional Airport
MED,OEMA,Prince Mohammad bin Abdulaziz Airport
DHA,OEDR,King Abdulaziz Air Base
SHW,OESH,Sharurah Domestic Airport
TUI,OETR,Turaif Domestic Airport
JED,OEJN,King Abdulaziz International Airport
KMX,OEKM,King Khalid Air Base
EJH,OEWJ,Al Wajh Domestic Airport
ZUL,OEZL,Zilfi Airport
AKH,OEPS,Prince Sultan Air Base
SLF,OESL,Sulayel Airport
RAH,OERF,Rafha Domestic Airport
KMC,OEKK,King Khaled Military City Airport
AJF,OESK,Al-Jawf Domestic Airport
AHB,OEAB,Abha Regional Airport
DMM,OEDF,King Fahd International Airport
HAS,OEHL,Ha'il Regional Airport
GIZ,OEGN,Jizan Regional Airport (King Abdullah bin Abdulaziz Airport)
EAM,OENG,Najran Domestic Airport
WAE,OEWD,Wadi al-Dawasir Domestic Airport
TIF,OETF,Ta'if Regional Airport
ELQ,OEGS,Prince Nayef bin Abdulaziz Regional Airport
RUH,OERK,King Khalid International Airport
YNB,OEYN,Yanbu Airport (Yenbo Airport)
BHH,OEBH,Bisha Domestic Airport
DWD,OEDW,Dawadmi Domestic Airport (King Salman bin Abdul Aziz Domestic Airport)
NAZ,AGNA,Nana Airport
AFT,AGAF,Afutara Airport
TLG,AGTI,Tulaghi Heliport
FRE,AGGF,Fera Airport (Fera/Maringe Airport)
NNB,AGGT,Santa Ana Airport
JJA,AGJO,Jajao Airport
VAO,AGGV,Suavanao Airport
VEV,AGBA,Barakoma Airport
EGM,AGGS,Seghe Airport
RBV,AGRM,Ramata Airport
SCZ,AGGL,Santa Cruz/Graciosa Bay/Luova Airport
RNL,AGGR,Rennell/Tingoa Airport
MUA,AGGM,Munda Airport
RNA,AGAR,Ulawa Airport
XYA,AGGY,Yandina Airport
MNY,AGGO,Mono Airport
MBU,AGGD,Mbambanakira Airport
CHY,AGGC,Choiseul Bay Airport
RIN,AGRC,Ringgi Cove Airport
BPF,AGBT,Batuna Airport
BNY,AGGB,Bellona/Anua Airport
KGE,AGKG,Kaghau Airport
AVU,AGGJ,Avu Avu Airport
ATD,AGAT,Uru Harbour Airport
IRA,AGGK,Kirakira Airport (Ngorangora Airstrip)
HIR,AGGH,Honiara International Airport
GTA,AGOK,Gatokae Aerodrome
OTV,AGGQ,Ontong Java Airport
GEF,AGEV,Geva Airport
AKS,AGGA,Auki Gwaunaru'u Airport
KUE,AGKU,Kukundu Airport
BAS,AGGE,Balalae Airport
RUS,AGGU,Marau Airport
KWS,AGKW,Kwailabesi Airport
GZO,AGGN,Nusatupe Airport
FRK,FSSF,Fregate Island Airport
SEZ,FSIA,Seychelles International Airport
DEI,FSSD,Denis Island Airport
BDI,FSSB,Bird Island Airport
PRI,FSPP,Praslin Island Airport
DES,FSDR,Desroches Airport
NHF,HSNW,New Halfa Airport
DOG,HSDN,Dongola Airport
ELF,HSFS,El Fasher Airport
RSS,HSDZ,Damazin Airport
MWE,HSMR,Merowe Airport
UYL,HSNN,Nyala Airport
NUD,HSNH,En Nahud Airport
KRT,HSSS,Khartoum International Airport
EGN,HSGN,Geneina Airport
GSU,HSGF,Azaza Airport
GBU,HSKG,Khashm el Girba Airport
KST,HSKI,Rabak Airport
ATB,HSAT,Atbara Airport
EBD,HSOB,El Obeid Airport
EDB,HSDB,El Debba Airport
KSL,HSKA,Kassala Airport
DNX,HSGG,Galegu Airport
KDX,HSLI,Kadugli Airport
PZU,HSPN,Port Sudan New International Airport
ZLX,HSZA,Zalingei Airport
DNI,HSWD,Wad Medani Airport
WHF,HSSW,Wadi Halfa Airport
HGI,HSFA,Paloich Airport
ORB,ESOE,Orebro Airport
GSE,ESGP,Goteborg City Airport
VST,ESOW,Stockholm Vasteras Airport
SOO,ESNY,Soderhamn Airport (Helsinge Airport)
HLF,ESSF,Hultsfred-Vimmerby Airport
AGH,ESTA,Angelholm-Helsingborg Airport (former ICAO: ES)
HFS,ESOH,Hagfors Airport
SQO,ESUD,Storuman Airport
NYO,ESKN,Stockholm Skavsta Airport
THN,ESGT,Trollhattan-Vanersborg Airport
NRK,ESSP,Norrkoping Airport
GVX,ESSK,Gavle-Sandviken Airport
RNB,ESDF,Ronneby Airport
OSK,ESMO,Oskarshamn Airport
LPI,ESSL,Linkoping City Airport
KSK,ESKK,Karlskoga Airport
KVB,ESGR,Skovde Airport
SFT,ESNS,Skelleftea Airport
KRF,ESNK,Hoga Kusten Airport (Kramfors-Solleftea Airport)
LDK,ESGL,Lidkoping-Hovby Airport
KID,ESMK,Kristianstad Airport
HMV,ESUT,Hemavan Tarnaby Airport
MXX,ESKM,Mora-Siljan A
IDB,ESUE,Idre Airport
PJA,ESUP,Pajala Airport
AJR,ESNX,Arvidsjaur Airport
LYC,ESNL,Lycksele Airport
GEV,ESNG,Gallivare Airport
EKT,ESSU,Eskilstuna Airport
JKG,ESGJ,Jonkoping Airport
VBY,ESSV,Visby Airport
BMA,ESSB,Stockholm Bromma Airport
TYF,ESST,Torsby Airport
OER,ESNO,Ornskoldsvik Airport
EVG,ESND,Sveg Airport
KLR,ESMQ,Kalmar Airport
KSD,ESOK,Karlstad Airport
GOT,ESGG,Goteborg Landvetter Airport
VXO,ESMX,Vaxjo Smaland Airport
HAD,ESMT,Halmstad Airport (Halmstad City Airport)
LLA,ESPA,Lulea Airport (Kallax Airport)
VHM,ESNV,Vilhelmina Airport
UME,ESNU,Umea Airport
VVK,ESSW,Vastervik Airport
OSD,ESNZ,Are Ostersund Airport
BLE,ESSD,Dala Airport (Borlange Airport)
KRN,ESNQ,Kiruna Airport
HUV,ESNH,Hudiksvall Airport
ARN,ESSA,Stockholm Arlanda Airport
MMX,ESMS,Malmo Airport
SDL,ESNN,Sundsvall-Timra Airport (Midlanda Airport)
TGA,WSAT,Tengah Air Base
SIN,WSSS,Singapore Changi Airport
QPG,WSAP,Paya Lebar Air Base
XSP,WSSL,Seletar Airport
ASI,FHAW,RAF Ascension Island (Wideawake Field)
HLE,FHSH,Saint Helena Airport (under construction)
LYR,ENSB,Svalbard Airport
LJU,LJLJ,Ljubljana Joze Pucnik Airport (Brnik Airport)
POV,LZPW,Presov Air Base
BTS,LZIB,M. R. Stefanik Airport
ILZ,LZZI,Zilina Airport
POW,LJPZ,Portoroz Airport
PZY,LZPP,Piestany Airport
LUE,LZLU,Bolkovce Airport
TAT,LZTT,Poprad-Tatry Airport
SLD,LZSL,Sliac Airport
KSC,LZKZ,Kosice International Airport
MBX,LJMB,Maribor Edvard Rusjan Airport
KBS,GFBO,Bo Airport
HGS,GFHA,Hastings Airport
BTE,GFBN,Sherbro International Airport
KEN,GFKE,Kenema Airport
GBK,GFGK,Gbangbatok Airport
WYE,GFYE,Yengema Airport
FNA,GFLL,Lungi International Airport
KBA,GFKB,Kabala Airport
SMY,GOTS,Simenti Airport
DSS,GOBD,Blaise Diagne International Airport
TUD,GOTT,Tambacounda Airport
DKR,GOOY,Leopold Sedar Senghor International Airport
KDA,GOGK,Kolda North Airport
CSK,GOGS,Cap Skirring Airport
MAX,GOSM,Ouro Sogui Airport
KLC,GOOK,Kaolack Airport
RDT,GOSR,Richard Toll Airport
BXE,GOTB,Bakel Airport
POD,GOSP,Podor Airport
XLS,GOSS,Saint-Louis Airport
KGG,GOTK,Kedougou Airport
ZIG,GOGG,Ziguinchor Airport
HCM,HCME,Eyl Airport
GLK,HCMR,Abdullahi Yusuf International Airport
CMS,HCMS,Iskushuban Airport
LGX,HCMJ,Lugh Ganane Airport
CMO,HCMO,Obbia Airport
ERA,HCMU,Erigavo Airport
BBO,HCMI,Berbera Airport
BSA,HCMF,Bender Qassim International Airport
MGQ,HCMM,Aden Adde International Airport
HGA,HCMH,Hargeisa International Airport (Egal Int'l)
CXN,HCMC,Candala Airport
ALU,HCMA,Alula Airport
BUO,HCMV,Burao Airport
BIB,HCMB,Baidoa Airport
KMU,HCMK,Kismayo Airport (Kisimayu Airport)
GSR,HCMG,Qardho Airport
BSY,HCMD,Bardera Airport
OEM,SMPA,Vincent Fayks Airport
DRJ,SMDA,Drietabbetje Airstrip
PBM,SMJP,Johan Adolf Pengel International Airport
MOJ,MEMO,Moengo Airstrip
LDO,SMDO,Laduani Airstrip
ICK,SMNI,Majoor Henry Fernandes Airport (Nieuw Nickerie Airport)
KCB,SMTP,Tepoe Airstrip
ORG,SMZO,Zorg en Hoop Airport
AAJ,SMCA,Cayana Airstrip
SMZ,SMST,Stoelmans Eiland Airstrip
TOT,SMCO,Totness Airstrip
ABN,SMBN,Albina Airstrip
WSO,SMWS,Washabo Airport
AGI,SMWA,Wageningen Airstrip
RBX,HSMK,Rumbek Airport
MAK,HSSM,Malakal Airport
WUU,HSWW,Wau Airport
JUB,HSSJ,Juba International Airport
TMS,FPST,Sao Tome International Airport
PCP,FPPR,Principe Airport
SAL,MSLP,Monsenor Oscar Arnulfo Romero International Airport
SXM,TNCM,Princess Juliana International Airport
KAC,OSKL,Kamishly Airport
ALP,OSAP,Aleppo International Airport
LTK,OSLK,Bassel Al-Assad International Airport
DAM,OSDI,Damascus International Airport
PMS,OSPR,Palmyra Airport
DEZ,OSDZ,Deir ez-Zor Airport
SHO,FDSK,King Mswati III International Airport (Sikhuphe Int'l)
MTS,FDMS,Matsapha Airport
PIC,MBPI,Pine Cay Airport
MDS,MBMC,Middle Caicos Airport
GDT,MBGT,JAGS McCartney International Airport (Grand Turk Int'l)
NCA,MBNC,North Caicos Airport
PLS,MBPV,Providenciales International Airport
XSC,MBSC,South Caicos Airport
SLX,MBSY,Salt Cay Airport
NDJ,FTTJ,N'Djamena International Airport
LTC,FTTH,Lai Airport
ATV,FTTI,Ati Airport
AMO,FTTU,Mao Airport
SRH,FTTA,Sarh Airport
OTC,FTTL,Bol-Berim Airport
PLF,FTTP,Pala Airport
FYT,FTTY,Faya-Largeau Airport
OUT,FTTS,Bousso Airport
BKR,FTTK,Bokoro Airport
MVO,FTTM,Mongo Airport
AEH,FTTC,Abeche Airport
MQQ,FTTD,Moundou Airport
AMC,FTTN,Am Timan Airport
OGR,FTTB,Bongor Airport
LFW,DXXX,Lome-Tokoin Airport (Gnassingbe Eyadema Int'l)
LRL,DXNG,Niamtougou International Airport
UBP,VTUU,Ubon Ratchathani Airport
LOE,VTUL,Loei Airport
PHS,VTPP,Phitsanulok Airport
